miner,cut_type,logP_Name,logM_Name,trace_variants_P,trace_variants_M
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_20.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_20,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_20,544.0,318.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_22.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_22,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_22,654.0,747.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_23.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_23,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_23,371.0,140.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_24.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_24,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_24,733.0,709.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_25.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_25,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_25,299.0,269.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_26.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_26,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_26,587.0,483.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_27.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_27,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_27,263.0,287.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_28.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_28,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_28,520.0,552.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_3.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_3,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_3,473.0,446.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_4.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_4,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_4,335.0,301.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_6.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_6,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_6,666.0,571.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_8.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_8,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_8,457.0,454.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_9.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_9,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_9,415.0,403.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_1.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_1,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_1,599.0,513.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_10.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_10,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_10,762.0,862.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_11.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_11,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_11,460.0,337.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_12.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_12,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_12,129.0,103.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_13.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_13,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_13,431.0,427.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_15.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_15,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_15,532.0,212.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_16.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_16,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_16,475.0,674.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_17.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_17,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_17,746.0,677.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_18.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_18,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_18,515.0,518.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_19.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_19,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_19,291.0,287.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_2.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_2,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_2,226.0,104.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_21.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_21,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_21,903.0,801.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_22.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_22,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_22,511.0,434.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_23.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_23,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_23,480.0,587.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_24.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_24,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_24,388.0,205.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_25.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_25,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_25,490.0,526.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_27.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_27,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_27,297.0,202.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_28.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_28,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_28,692.0,594.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_29.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_29,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_29,744.0,238.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_4.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_4,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_4,549.0,493.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_8.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_8,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_8,181.0,220.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_9.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logP_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_9,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.8_Pruning_0\logM_8_Sup_1.0_Ratio_0.8_Pruning_0_Data_9,376.0,112.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_10.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_10,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_10,779.0,774.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_14.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_14,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_14,433.0,481.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_15.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_15,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_15,513.0,532.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_16.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_16,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_16,302.0,191.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_17.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_17,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_17,273.0,197.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_18.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_18,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_18,363.0,318.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_20.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_20,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_20,733.0,582.0
GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_21.xes,loop,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logP_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_21,GNN_partitioning\GNN_Data\loop\Data_8\Sup_1.0_Ratio_0.6_Pruning_0\logM_8_Sup_1.0_Ratio_0.6_Pruning_0_Data_21,330.0,315.0
GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_1.xes,seq,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_1,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_1,249.0,318.0
GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_10.xes,seq,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_10,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_10,473.0,97.0
GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_11.xes,seq,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_11,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_11,339.0,293.0
GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_12.xes,seq,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_12,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_12,24.0,18.0
GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_13.xes,seq,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_13,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_13,54.0,7.0
GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_14.xes,seq,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_14,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_14,36.0,52.0
GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_15.xes,seq,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_15,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_15,27.0,21.0
GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_16.xes,seq,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_16,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_16,48.0,92.0
GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_17.xes,seq,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_17,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_17,65.0,23.0
GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_18.xes,seq,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logP_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_18,GNN_partitioning\GNN_Data\seq\Data_8\Sup_1.0_Ratio_1.0_Pruning_0\logM_8_Sup_1.0_Ratio_1.0_Pruning_0_Data_18,56.0,44.0
